,date,I.case,I.cum
1,200215,0,0
2,200216,1,1
3,200217,1,2
4,200218,1,3
5,200219,20,23
6,200220,53,76
7,200221,100,176
8,200222,229,405
9,200223,169,574
10,200224,231,805
11,200225,144,949
12,200226,284,1233
13,200227,505,1738
14,200228,571,2309
15,200229,813,3122
16,200301,586,3708
17,200302,476,4184
18,200303,600,4784
19,200304,516,5300
20,200305,438,5738
21,200306,518,6256
22,200307,483,6739
23,200308,367,7106
24,200309,248,7354
25,200310,131,7485
26,200311,242,7727
27,200312,224,7951
28,200313,0,7951
29,200314,107,8058
30,200315,76,8134
31,200316,74,8208
32,200317,84,8292
33,200318,93,8385
34,200319,239,8624
35,200320,147,8771
36,200321,98,8869
37,200322,0,8869
38,200323,64,8933
39,200324,76,9009
40,200325,100,9109
41,200326,104,9213
42,200327,91,9304
43,200328,146,9450
44,200329,105,9555
45,200330,78,9633
46,200331,125,9758
47,200401,101,9859
48,200402,89,9948
49,200403,86,10034
50,200404,94,10128
51,200405,81,10209
52,200406,47,10256
53,200407,47,10303
54,200408,53,10356
55,200409,39,10395
56,200410,27,10422
57,200411,30,10452
58,200412,32,10484
59,200413,25,10509
60,200414,27,10536
61,200415,27,10563
